Player TS 3PAr FTr ORB DRB TRB AST STL BLK TOV G
Paul George 0.557 0.391 0.364 3.1 18.7 10.9 20.3 2.7 0.8 13.6 81
Taj Gibson 0.556 0.006 0.292 11.4 15.9 13.7 8.3 1.2 2.9 12.1 73
Manu Ginobili 0.573 0.411 0.257 2.7 11.7 7.3 23.6 3 0.8 17 58
Rudy Gobert 0.582 0 0.799 12.6 27.7 20.2 7.4 1.2 5.9 19.2 61
Drew Gooden 0.376 0.398 0.136 10.1 21.3 15.6 6 1.3 2.9 10.6 30
Archie Goodwin 0.498 0.235 0.457 2.6 11.5 6.9 17.2 1.2 1 16.5 57
Aaron Gordon 0.541 0.245 0.333 9 21.3 15.1 10.3 1.6 2.4 9 78
Eric Gordon 0.565 0.533 0.226 0.7 6.9 3.7 12.7 1.4 0.8 10.7 45
Marcin Gortat 0.592 0.001 0.271 10.8 26.3 18.4 7.5 1 3.4 12.4 75
Andrew Goudelock 0.506 0.45 0.2 2.2 2.2 2.2 13.3 5.9 3.3 24.3 8
Jerami Grant 0.506 0.244 0.538 5 14.3 9.5 10.4 1.3 4.7 12.9 77
Jerian Grant 0.479 0.256 0.315 2 10.2 6.2 21.8 2 0.6 16.3 76
Danny Green 0.492 0.622 0.082 2.7 13.6 8.4 9.3 2 2.4 11.4 79
Draymond Green 0.587 0.315 0.402 5.5 23 14.7 29 2 3 21.2 81
Erick Green 0.468 0.385 0.154 8.4 8.2 8.3 11 1.3 0 0 9
Erick Green 0 1 0 0 16.1 7.9 18.3 0 0 0 3
Erick Green 0.505 0.333 0.167 10.1 6.7 8.3 9.6 1.5 0 0 6
Gerald Green 0.491 0.443 0.157 1.9 9.7 5.9 5.6 1.3 0.9 6.8 69
JaMychal Green 0.52 0.091 0.277 10.5 19.3 14.7 7.7 1.6 2.1 13 78
Jeff Green 0.51 0.258 0.267 3.6 13.3 8.3 10 1.3 1.5 9.2 80
Jeff Green 0.517 0.244 0.278 3.9 14.4 8.9 10.5 1.3 1.1 9.9 53
Jeff Green 0.496 0.288 0.243 3 10.9 7 8.9 1.3 2.3 7.5 27
Blake Griffin 0.544 0.03 0.322 4.8 22.3 13.7 27.2 1.2 1.1 10.8 35
Jorge Gutierrez 0.694 0.182 1 0 12.3 6.1 40.3 2.4 0 27.5 12
P.J. Hairston 0.47 0.591 0.157 2.1 12.8 7.3 4.4 1.2 0.7 8.6 66
P.J. Hairston 0.486 0.623 0.152 2.1 13 7.5 4.7 1.3 0.6 7.5 48
P.J. Hairston 0.438 0.523 0.167 2 12.4 7 3.8 1.1 1 10.7 18
Jordan Hamilton 0.499 0.388 0.181 4.2 18.9 11.3 12.9 1.3 0.8 12 11
Tyler Hansbrough 0.522 0.042 0.915 12.6 15.8 14.2 3.5 1.8 1.7 10.8 44
Tim Hardaway 0.563 0.536 0.211 0.9 9.8 5.4 8.9 1.2 0.6 7.4 51
James Harden 0.598 0.406 0.518 2.2 15.6 8.8 35.4 2.2 1.4 15.9 82
Maurice Harkless 0.541 0.341 0.27 7.5 13.3 10.4 6.9 1.7 1.9 11.9 78
Justin Harper 0.597 0.9 0.2 0 3.2 1.6 0 1.4 0 15.5 5
Montrezl Harrell 0.635 0.011 0.511 7.2 11.7 9.5 7.2 1.4 2.4 13.4 39
Devin Harris 0.559 0.422 0.374 1.5 10.3 5.9 14.5 2.4 0.8 13.2 64
Gary Harris 0.566 0.388 0.174 2.4 7.7 5 9.5 2 0.6 10.6 76
Joe Harris 0.375 1 0 0 22.5 11.3 18.2 0 0 20 5
Tobias Harris 0.56 0.269 0.273 4.1 18.6 11.2 10.6 1.3 1.3 9.8 76
Tobias Harris 0.55 0.279 0.283 4.8 18.9 11.8 9.3 1.5 1.4 11.4 49
Tobias Harris 0.577 0.253 0.259 2.9 18 10.2 12.9 1 1 7.2 27
Aaron Harrison 0.371 0.526 0.632 4.7 13.1 8.8 3 3.2 0 14.1 21
Udonis Haslem 0.434 0.148 0.262 4.5 27.4 16.3 7.6 1 0.6 6.8 37
Spencer Hawes 0.508 0.333 0.212 5.3 20.6 12.9 16.3 1.1 2.1 14.8 57
Chuck Hayes 0.694 0 1 0 37 18.4 11.3 0 0 51 2
Gordon Hayward 0.559 0.341 0.397 2.5 13.5 8 18.2 1.7 0.8 12.5 80
Gerald Henderson 0.526 0.257 0.276 2.3 13.7 8 8.2 1.4 1 10.3 72
John Henson 0.58 0.003 0.402 10.4 15.8 13.2 9 1 9.7 15.7 57
Mario Hezonja 0.541 0.459 0.129 2.2 11.8 6.9 11.2 1.4 1 18 79
Roy Hibbert 0.507 0.005 0.353 7.3 15.8 11.4 8 0.9 4.6 13.8 81
J.J. Hickson 0.514 0.006 0.665 9.8 24.1 16.8 8.7 1.7 2.6 11.1 35
J.J. Hickson 0.508 0 0.541 7.9 24 15.8 8.7 1.6 3.2 10.6 20
J.J. Hickson 0.528 0.022 0.957 14.2 24.4 19.2 8.5 1.9 1.2 12.1 15
Nene Hilario 0.564 0.008 0.482 5.2 21.6 13.2 14.1 2.4 1.9 14 57
George Hill 0.555 0.425 0.203 2.5 10.3 6.5 15.5 1.6 0.5 11.1 74
Jordan Hill 0.534 0.002 0.228 11.3 21.2 16.3 9.5 1.2 2 13.2 73
Solomon Hill 0.543 0.356 0.202 4.9 15.9 10.5 9.6 2.1 1 12.7 59
Darrun Hilliard 0.511 0.382 0.305 1.4 11.9 6.4 10.9 1.2 0.2 11.3 38
Kirk Hinrich 0.504 0.481 0.124 1.4 10.2 5.9 16 1.2 0.2 18.1 46
Kirk Hinrich 0.528 0.475 0.136 1.4 9.5 5.5 15 1.2 0.1 17.8 35
Kirk Hinrich 0.227 0.545 0 1.5 15.4 8.6 23.8 1.3 1 21.4 11
Jrue Holiday 0.529 0.277 0.231 1.6 10.5 5.9 37.3 2.4 1 14 65
Justin Holiday 0.489 0.461 0.162 1.7 10.5 6.2 10.7 2.1 1.8 13.8 53
Justin Holiday 0.407 0.616 0.137 1.7 9.3 5.6 5.9 2.4 1.2 14.4 26
Justin Holiday 0.527 0.387 0.174 1.7 11.1 6.5 13.2 1.9 2.1 13.5 27
Ryan Hollins 0.636 0 0.532 11.2 13.2 12.1 3.3 0.7 4.2 19.8 37
Ryan Hollins 0.571 0 0 16 9.5 12.8 0 0 1.7 30 5
Ryan Hollins 0.641 0 0.583 10.6 13.6 12 3.7 0.7 4.5 18.8 32
Rondae Hollis-Jefferson 0.519 0.101 0.377 7 21.4 14.1 10.1 3.2 2.1 13.9 29
Richaun Holmes 0.564 0.198 0.333 9.3 11.7 10.5 8 1.3 4.3 11.2 51
Rodney Hood 0.542 0.462 0.206 1.8 10.5 6.1 14.4 1.5 0.5 10.5 79
Al Horford 0.565 0.244 0.123 6.3 18.2 12.4 16.7 1.3 3.6 8.8 82
Dwight Howard 0.604 0.01 0.79 11.4 29.1 20.2 7 1.5 4.1 17 71
Marcelo Huertas 0.488 0.265 0.126 2.2 9.2 5.6 33.9 1.5 0.6 24.8 53
